Area,County FIPS,Age-Adjusted Rate per 100,0,Lower CI,Upper CI,Count
"Polk, Texas",48373,633.6,604.6,663.7,2123,
"Stonewall, Texas",48433,560.2,412.3,749.4,57,
"Foard, Texas",48155,541.5,367.4,771.7,45,
"Walker, Texas",48471,519,496.3,542.5,2033,
"Delta, Texas",48119,517.2,443.7,600.4,198,
"Camp, Texas",48063,506.8,457.3,560.4,425,
"Parker, Texas",48367,498.4,482.9,514.3,4154,
"Morris, Texas",48343,494.6,446.9,546.5,448,
"Chambers, Texas",48071,493.2,462.6,525.2,1034,
"Gregg, Texas",48183,492.8,476.3,509.8,3521,
"Coke, Texas",48081,490.6,402.4,594.7,135,
"Henderson, Texas",48213,487.3,469,506.2,3017,
"Lampasas, Texas",48281,486.6,450.3,525.3,722,
"Franklin, Texas",48159,485.7,434.7,541.4,375,
"Marion, Texas",48315,484.9,434.1,540.9,406,
"Cooke, Texas",48097,482.3,455.3,510.6,1294,
"Bell, Texas",48027,480.3,469.4,491.4,7676,
"Jasper, Texas",48241,479.7,451.4,509.5,1176,
"Coryell, Texas",48099,479,455,503.9,1544,
"Cherokee, Texas",48073,477.4,453.5,502.4,1577,
"Aransas, Texas",48007,476.4,444.8,509.9,1025,
"Palo Pinto, Texas",48363,475.6,444.1,508.9,942,
"Martin, Texas",48317,474.2,394.1,565.6,128,
"Fannin, Texas",48147,473.7,445.5,503.4,1118,
"Wichita, Texas",48485,472.2,456.3,488.6,3501,
"Lamar, Texas",48277,472.1,448.4,496.9,1594,
"Potter, Texas",48375,470.2,452.8,488.1,2850,
"Johnson, Texas",48251,470,456,484.3,4488,
"Upshur, Texas",48459,469.6,443.4,497.1,1299,
"Cass, Texas",48067,469.3,439.5,500.7,1046,
"Montague, Texas",48337,468.4,432.1,507.2,692,
"Hopkins, Texas",48223,468,440,497.5,1111,
"McCulloch, Texas",48307,467.3,411.1,529.8,282,
"Van Zandt, Texas",48467,467,445.1,489.7,1869,
"Baylor, Texas",48023,466.4,388,558.6,138,
"Orange, Texas",48361,465.7,446.7,485.4,2372,
"Hill, Texas",48217,465.4,438.1,494.1,1202,
"Hutchinson, Texas",48233,465.4,428,505.2,615,
"Liberty, Texas",48291,464.4,444.4,485.1,2140,
"Kaufman, Texas",48257,464.3,447.4,481.6,3005,
"Smith, Texas",48423,464.1,452.6,475.9,6474,
"Wise, Texas",48497,461.4,440.1,483.5,1869,
"Harrison, Texas",48203,461,440.1,482.7,1940,
"Hood, Texas",48221,459.9,439.5,481.1,2250,
"Young, Texas",48503,459.6,420.8,501.3,572,
"Armstrong, Texas",48011,459.2,346.1,601.5,65,
"Kleberg, Texas",48273,459,424.4,495.5,678,
"Lynn, Texas",48305,458.8,389.1,537.9,165,
"Milam, Texas",48331,458.6,426.1,493,816,
"Borden, Texas",48033,457.4,281.8,718.8,23,
"Grayson, Texas",48181,457,442.4,471.9,3973,
